content,created_at,date,likeCount,media,outlinks,quoteCount,quotedTweet,replyCount,retweetCount,retweetedTweet,url,id,conversationId
Girls checking in cause my lifestyle dangerous,Wed Dec 21 19:59:00 +0000 2022,2022-12-21 19:59:00+00:00,1368,,[],4,,128,49,,https://twitter.com/jakepaul/status/1605654086216323072,1605654086216323072,1605654086216323072
$3K winner is @AghaNoorMedia - we see all you do for the community. Team will DM you. Happy holidays.,Wed Dec 21 16:43:33 +0000 2022,2022-12-21 16:43:33+00:00,370,,[],7,,24,11,,https://twitter.com/jakepaul/status/1605604900607447043,1605604900607447043,1604529523554394115
"Also, if you see me bet on @betr in our content, I will do so in the free-to-play version with coins only, because as the Founder &amp; President of Betr, I am prohibited from betting on Betr.💪🏼(4/4)",Tue Dec 20 19:43:42 +0000 2022,2022-12-20 19:43:42+00:00,214,,[],1,,17,13,,https://twitter.com/jakepaul/status/1605287849598689280,1605287849598689280,1605287841461948419
"You should never gamble with money you are not comfortable losing, which is why we at @betr were happy to be the first operator in the U.S. to ban credit cards as a method of depositing! (3/4)",Tue Dec 20 19:43:42 +0000 2022,2022-12-20 19:43:42+00:00,274,,[],1,,13,16,,https://twitter.com/jakepaul/status/1605287847329533952,1605287847329533952,1605287841461948419
Remember to please make sure you gamble responsibly. The primary goal of sports betting should always be about enhancing your experience watching sports. (2/4),Tue Dec 20 19:43:41 +0000 2022,2022-12-20 19:43:41+00:00,147,,[],0,,7,9,,https://twitter.com/jakepaul/status/1605287844083388424,1605287844083388424,1605287841461948419
"BIG NEWS: @betr has officially been approved to go-live in Ohio at the state’s universal start date &amp; time of January 1! If you’re in Ohio &amp; have @betr downloaded, you’ll be able to begin betting with real money at that time. (1/4) pre register here 👇🏼 https://t.co/Uj2aRucGWg",Tue Dec 20 19:43:40 +0000 2022,2022-12-20 19:43:40+00:00,448,,['https://www.betr.app/ohio'],5,,50,37,,https://twitter.com/jakepaul/status/1605287841461948419,1605287841461948419,1605287841461948419
@theanimaltime44 We will be for sure.,Mon Dec 19 19:07:17 +0000 2022,2022-12-19 19:07:17+00:00,24,,[],0,,3,1,,https://twitter.com/jakepaul/status/1604916297585655808,1604916297585655808,1602096421485924352
UFA logo is 🔥. Winner will be hearing from the team this week.,Mon Dec 19 19:03:15 +0000 2022,2022-12-19 19:03:15+00:00,561,,[],0,,51,14,,https://twitter.com/jakepaul/status/1604915280894984193,1604915280894984193,1602096421485924352
"Thankful for the strength that god gave me🙏🏼 

Thankful for my supporters since day 1. 

I love you all. 

2023 will be the best year yet.",Sun Dec 18 20:20:38 +0000 2022,2022-12-18 20:20:38+00:00,3037,,[],12,,175,147,,https://twitter.com/jakepaul/status/1604572367107153920,1604572367107153920,1604572367107153920
"Oh btw, as an American it’s easy to admit…

American football is the greatest team sport ever. 

Sunday football time!",Sun Dec 18 18:22:32 +0000 2022,2022-12-18 18:22:32+00:00,14134,,[],272,,1802,478,,https://twitter.com/jakepaul/status/1604542647133151234,1604542647133151234,1604542647133151234
GOOSEBUMPS. INCREDIBLE WORLD CUP. MBAPPE AND MESSI PUT ON A SHOW. WTF. https://t.co/WTBq8ylUXZ,Sun Dec 18 17:58:34 +0000 2022,2022-12-18 17:58:34+00:00,9667,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1604536457066168320/pu/img/NK7fjhnXGMY9SZlL.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1604536457066168320/pu/vid/320x594/cd0O11OIkJ55I8ja.mp4?tag=12', bitrate=632000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1604536457066168320/pu/vid/480x892/V2tU5aCgFumFaUjX.mp4?tag=12', bitrate=950000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1604536457066168320/pu/vid/688x1280/-EXuCO3Gh_-_A7Ax.mp4?tag=12', bitrate=2176000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1604536457066168320/pu/pl/VSgqYULsfBk10Zw9.m3u8?tag=12&container=fmp4', bitrate=None)], duration=28.435, type='video')]",[],32,,177,429,,https://twitter.com/jakepaul/status/1604536616319696901,1604536616319696901,1604536616319696901
MESSI IS THE GREATEST OF ALL TIME,Sun Dec 18 17:56:01 +0000 2022,2022-12-18 17:56:01+00:00,30900,,[],66,,405,2881,,https://twitter.com/jakepaul/status/1604535972544364545,1604535972544364545,1604535972544364545
THIS WORLD CUP IS ABSURD,Sun Dec 18 17:39:07 +0000 2022,2022-12-18 17:39:07+00:00,5478,,[],2,,96,202,,https://twitter.com/jakepaul/status/1604531718341394433,1604531718341394433,1604531718341394433
F ME! Mbappe the greatest to ever put on the cleats 🫣.,Sun Dec 18 17:38:26 +0000 2022,2022-12-18 17:38:26+00:00,12229,,[],122,,698,362,,https://twitter.com/jakepaul/status/1604531547465736192,1604531547465736192,1604531547465736192
Ok Messi still the greatest. Sorry Mbappe.,Sun Dec 18 17:34:07 +0000 2022,2022-12-18 17:34:07+00:00,7521,,[],10,,191,237,,https://twitter.com/jakepaul/status/1604530461774319616,1604530461774319616,1604530461774319616
"$3K for one person if Mbappe scores a third time in extra time or penalty kicks.

Like, Rewteet and follow @MostVpromotions",Sun Dec 18 17:30:23 +0000 2022,2022-12-18 17:30:23+00:00,11795,,[],45,,839,5094,,https://twitter.com/jakepaul/status/1604529523554394115,1604529523554394115,1604529523554394115
Hard to say this as an American…but Mbappe may be the greatest athlete of all time…🤣.,Sun Dec 18 16:47:21 +0000 2022,2022-12-18 16:47:21+00:00,34668,,[],336,,1233,1436,,https://twitter.com/jakepaul/status/1604518691663917056,1604518691663917056,1604518691663917056
"Hard to admit as an American..but Messi may be the greatest athlete ever. 5’7, 148 lbs..Greatest non-penalty scorer of all time, greatest assister of all time. In a sport that has more people playing it than any other. GAOAT.

Agree?

Muhammad Ali still the most impactful though.",Sun Dec 18 15:53:18 +0000 2022,2022-12-18 15:53:18+00:00,40678,,[],521,,1718,2746,,https://twitter.com/jakepaul/status/1604505090198568965,1604505090198568965,1604505090198568965
Messi does not miss mate. 1-0,Sun Dec 18 15:23:01 +0000 2022,2022-12-18 15:23:01+00:00,8914,,[],15,,226,270,,https://twitter.com/jakepaul/status/1604497468418560000,1604497468418560000,1604497468418560000
"UFC fighters should be paying close attention. I am, as are UFA’s lawyers.

https://t.co/zmRUYuDGSw",Fri Dec 16 17:00:20 +0000 2022,2022-12-16 17:00:20+00:00,1523,,['https://www.si.com/.amp/college/2022/12/15/nlrb-college-athletes-employees-pursuit'],0,,87,47,,https://twitter.com/jakepaul/status/1603797185157537794,1603797185157537794,1603797185157537794
Amanda Serrano x MMA. 2-0 already. https://t.co/GzwpyFn2SG,Thu Dec 15 20:59:17 +0000 2022,2022-12-15 20:59:17+00:00,1104,,['https://twitter.com/Serranosisters/status/1603491963814174731'],2,https://twitter.com/Serranosisters/status/1603491963814174731,62,52,,https://twitter.com/jakepaul/status/1603494932030754816,1603494932030754816,1603494932030754816
Who is this coke head that keeps mentioning my name in press conferences? https://t.co/BOJCJMvnKW,Thu Dec 15 16:58:28 +0000 2022,2022-12-15 16:58:28+00:00,7078,"[Photo(previewUrl='https://pbs.twimg.com/media/FkCLBU2XkAADYjO?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FkCLBU2XkAADYjO?format=jpg&name=large', type='photo')]",[],36,,295,178,,https://twitter.com/jakepaul/status/1603434327966097408,1603434327966097408,1603434327966097408
"KSI actually telling the truth for once! 

I’m flattered I’m your ultimate goal in boxing and you know what happens with Timmy. https://t.co/w1FGfYj1yd",Thu Dec 15 15:48:23 +0000 2022,2022-12-15 15:48:23+00:00,17532,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1603413012127383552/pu/img/_UR-bEz92KDpdgn-.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1603413012127383552/pu/pl/YopADBDl1Ph-HlTw.m3u8?tag=14&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1603413012127383552/pu/vid/534x360/rDuayi2tfvOgBXRI.mp4?tag=14', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1603413012127383552/pu/vid/750x504/ZpF6eQxvBINTM5-r.mp4?tag=14', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1603413012127383552/pu/vid/400x270/jr-xwCLj7lmQB4di.mp4?tag=14', bitrate=256000)], duration=78.036, type='video')]",[],20,,242,418,,https://twitter.com/jakepaul/status/1603416688778776578,1603416688778776578,1603416688778776578
"France and Argentina is going to be fireworks. I got Messi and the La Albiceleste for the win.

Gotta recognize what Morocco accomplished as a country…for Africa, for Arabs, and for the entire Muslim world. Y’all did the world proud.",Wed Dec 14 22:12:48 +0000 2022,2022-12-14 22:12:48+00:00,20806,,[],202,,570,813,,https://twitter.com/jakepaul/status/1603151043218612226,1603151043218612226,1603151043218612226
@Justin_Gaethje Equally sad/bad to see a fighter begging for $50K when the guy he’s begging is making hundreds of millions a year from fighters.,Mon Dec 12 00:38:24 +0000 2022,2022-12-12 00:38:24+00:00,2083,,[],5,,93,51,,https://twitter.com/jakepaul/status/1602100519207682048,1602100519207682048,1602029135940923392
"UFA (United Fighters Association) update:

1) Working with a law firm that specializes in labor &amp; employment law.

2) Identifying key current &amp; previous fighters to lead the interim board.

3) Logo design narrowed down to 3 finalists.

It’s time for fighters to come together. https://t.co/OFhcxNewaY",Mon Dec 12 00:22:07 +0000 2022,2022-12-12 00:22:07+00:00,2191,,['https://twitter.com/jakepaul/status/1592969472133853184'],7,https://twitter.com/jakepaul/status/1592969472133853184,175,108,,https://twitter.com/jakepaul/status/1602096421485924352,1602096421485924352,1602096421485924352
"Being a UFC fighter, with zero rights and no control, is amazing if you are one of Dana White’s favorites. You can even do a food review for free to drive up his views. What a league. Y’all deserve better.",Sun Dec 11 13:17:39 +0000 2022,2022-12-11 13:17:39+00:00,8896,,[],24,,417,308,,https://twitter.com/jakepaul/status/1601929206664945664,1601929206664945664,1601929206664945664
Hahahahad England all the way to a loss. Corny ass. Fighting a dude who has never punched a person in their life.,Sat Dec 10 21:01:15 +0000 2022,2022-12-10 21:01:15+00:00,10328,,[],205,,1640,267,,https://twitter.com/jakepaul/status/1601683487249289216,1601683487249289216,1601683487249289216
j'aime le football et je sais que la france va gagner parce que je suis français à 5%,Sat Dec 10 20:49:39 +0000 2022,2022-12-10 20:49:39+00:00,9379,,[],198,,915,272,,https://twitter.com/jakepaul/status/1601680565794897920,1601680565794897920,1601680565794897920
@Serranosisters Champion grade.,Sat Dec 10 18:49:32 +0000 2022,2022-12-10 18:49:32+00:00,140,,[],0,,8,12,,https://twitter.com/jakepaul/status/1601650336116379648,1601650336116379648,1601647675988152320
"Congrats to Morocco, congrats to Africa. Wow.",Sat Dec 10 16:57:33 +0000 2022,2022-12-10 16:57:33+00:00,20619,,[],34,,259,728,,https://twitter.com/jakepaul/status/1601622156151963649,1601622156151963649,1601622156151963649
"Me &amp; MVP are negotiating with Eddie Hearn &amp; Matchroom to get @Serranosisters the fights she deserves. Amanda’s priority is to be the 1st undisputed Puerto Rican champ. If &amp; when she achieves that, she’s agreed to go to Ireland to fight Katie Taylor in front of 80,000 Irish fans. https://t.co/m9yQtLY5B3",Sat Dec 10 15:56:25 +0000 2022,2022-12-10 15:56:25+00:00,1398,,['https://twitter.com/boxingscene/status/1601236995044704257'],10,https://twitter.com/boxingscene/status/1601236995044704257,61,85,,https://twitter.com/jakepaul/status/1601606769893339137,1601606769893339137,1601606769893339137
Hoy shit. If Portugal loses it’s all on their coach for not starting the GOAT Ronaldo! Put him in now!,Sat Dec 10 15:43:32 +0000 2022,2022-12-10 15:43:32+00:00,31401,,[],375,,1225,1435,,https://twitter.com/jakepaul/status/1601603531295051776,1601603531295051776,1601603531295051776
"My pick to win is Portugal and I love Ronaldo…

But I hope it’s Messi Vs. Ronaldo in the final.",Fri Dec 09 21:59:28 +0000 2022,2022-12-09 21:59:28+00:00,23416,,[],286,,921,1027,,https://twitter.com/jakepaul/status/1601335750205005824,1601335750205005824,1601335750205005824
"ARGENTINA OMFG 

MESSI THE GOAT",Fri Dec 09 21:57:27 +0000 2022,2022-12-09 21:57:27+00:00,59628,,[],270,,940,4633,,https://twitter.com/jakepaul/status/1601335239439454208,1601335239439454208,1601335239439454208
Don’t let anyone tell you it’s not possible. The process itself will make you better.,Thu Dec 08 13:02:46 +0000 2022,2022-12-08 13:02:46+00:00,7140,,[],24,,255,618,,https://twitter.com/jakepaul/status/1600838296074010627,1600838296074010627,1600838296074010627
Who do you believe in?,Wed Dec 07 13:36:00 +0000 2022,2022-12-07 13:36:00+00:00,16987,,[],551,,5147,355,,https://twitter.com/jakepaul/status/1600484271914979329,1600484271914979329,1600484271914979329
Remember when Dana White and UFC fighters like Colby Cunnington tried to claim my Askren KO was rigged…Ironic isn’t it that the Ontario Gaming Commission believe UFC insiders are rigging fights. https://t.co/ojgniWwldA,Fri Dec 02 14:56:37 +0000 2022,2022-12-02 14:56:37+00:00,3027,,['https://twitter.com/MMAFighting/status/1598409931874480128'],21,https://twitter.com/MMAFighting/status/1598409931874480128,325,174,,https://twitter.com/jakepaul/status/1598692618740834306,1598692618740834306,1598692618740834306
"Tommy Fury ducking. Tyson Fury now trying to get me to fight his dad instead?

Nate Diaz ducking. I heard he’s boxing a a novice YouTuber?

Paddy ducking a spar. Knows I can’t go to UFC HQ. Offered him Jan 5 but happy to fly him out any day he wants that works for us both?",Thu Dec 01 14:39:21 +0000 2022,2022-12-01 14:39:21+00:00,18170,,[],193,,2032,484,,https://twitter.com/jakepaul/status/1598325887782494209,1598325887782494209,1598325887782494209
"Fella my team told me you have been trying to book me for ur podcast, Jan 5th. So I’m sending you a jet to bring you to Puerto Rico. Both of our teams will film. We spar, 5 rounds and then we can do your podcast. By then you will be back to your normal weight. No excuses. 🤝 ? https://t.co/3MufAO12O3",Wed Nov 30 13:21:24 +0000 2022,2022-11-30 13:21:24+00:00,19183,,['https://twitter.com/ESPNRingside/status/1597745668692377601'],210,https://twitter.com/ESPNRingside/status/1597745668692377601,1141,624,,https://twitter.com/jakepaul/status/1597943881374781440,1597943881374781440,1597943881374781440
Tommy Fury…the contract is with your team. 7 figures. 6x what you made in your last fight. You signing right?,Tue Nov 29 19:21:30 +0000 2022,2022-11-29 19:21:30+00:00,24815,,[],83,,592,498,,https://twitter.com/jakepaul/status/1597672115289067522,1597672115289067522,1597672115289067522
"Hi Nate. Finally out of your UFC contract?

Let’s see how tough you are in the boxing ring instead of hallway slap contests.@NateDiaz209 

I have a venue booked. Offer is ready when you are. Just need you to sign.",Tue Nov 29 19:15:40 +0000 2022,2022-11-29 19:15:40+00:00,15281,,[],163,,1081,481,,https://twitter.com/jakepaul/status/1597670647282343936,1597670647282343936,1597670647282343936
"Dear Paddy Pimblett, you claim my fights are rigged? Stop calling the GOAT Anderson Silva a criminal and come spar me.

You win, I give you $1 million. I win, you join the UFA. https://t.co/jOFqcPdjnz",Tue Nov 29 18:00:11 +0000 2022,2022-11-29 18:00:11+00:00,16012,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1597651289235755008/pu/img/S4PCC6Rexq_HOLEh.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1597651289235755008/pu/vid/320x568/pScoeYpK8Q3he9wi.mp4?tag=14', bitrate=632000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1597651289235755008/pu/vid/1080x1920/AwmqC9f8bk_NdqvX.mp4?tag=14', bitrate=10368000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1597651289235755008/pu/vid/480x852/tUgKZJ5wU1LCNDmm.mp4?tag=14', bitrate=950000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1597651289235755008/pu/vid/720x1280/F_qNiXmrfWpPsuFD.mp4?tag=14', bitrate=2176000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1597651289235755008/pu/pl/BRgqtyb7SLmDVLZO.m3u8?tag=14&container=fmp4', bitrate=None)], duration=65.903, type='video')]",[],325,,1277,718,,https://twitter.com/jakepaul/status/1597651651053379584,1597651651053379584,1597651651053379584
"Big money men only on this list. 

I’m 25, Canelo is 32, Tyson &amp; Conor are 34.

Next fight in February. Offers out tomorrow to 3 potential opponents. https://t.co/L7U8rtqiNT",Sun Nov 27 17:53:38 +0000 2022,2022-11-27 17:53:38+00:00,4196,,['https://twitter.com/GMSBoxing/status/1596826201661870089'],21,https://twitter.com/GMSBoxing/status/1596826201661870089,324,177,,https://twitter.com/jakepaul/status/1596925227879247873,1596925227879247873,1596925227879247873
"Anyone know if I’m still eligible to be in college? 

Need to go show these Ohio boys how to play defense like an Ohioan.",Sat Nov 26 20:38:35 +0000 2022,2022-11-26 20:38:35+00:00,12291,,[],49,,468,242,,https://twitter.com/jakepaul/status/1596604351392649216,1596604351392649216,1596604351392649216
Ohio &gt; Michigan,Sat Nov 26 18:42:30 +0000 2022,2022-11-26 18:42:30+00:00,5414,,[],63,,487,216,,https://twitter.com/jakepaul/status/1596575137591169024,1596575137591169024,1596575137591169024
"First we went to Riyadh and it was WOW. Then we went to Dubai and WOW. Best vacation yet. Hung on the side of a building!

https://t.co/9kU0J9wUzi",Fri Nov 25 16:17:50 +0000 2022,2022-11-25 16:17:50+00:00,1633,,['https://m.youtube.com/watch?v=mZHVgUR7I1M'],2,,110,71,,https://twitter.com/jakepaul/status/1596176344345452544,1596176344345452544,1596176344345452544
"@DanCanobbio @ChrisAlgieri 1. Mike Tyson 
2. Tyson Fury 
3. Ali 
4. Cus D’amato",Thu Nov 24 19:29:26 +0000 2022,2022-11-24 19:29:26+00:00,138,,[],1,,11,8,,https://twitter.com/jakepaul/status/1595862172814671872,1595862172814671872,1595794440198799362
enjoy this image because he will never fight me. https://t.co/Ab93tsCuOO,Thu Nov 24 19:22:46 +0000 2022,2022-11-24 19:22:46+00:00,53196,"[Photo(previewUrl='https://pbs.twimg.com/media/FiWiqRTXgAEpvK-?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FiWiqRTXgAEpvK-?format=jpg&name=large', type='photo')]",[],117,,1585,1132,,https://twitter.com/jakepaul/status/1595860495864856576,1595860495864856576,1595860495864856576
2023 https://t.co/ySg5XuJ0UC https://t.co/qbaF6pbHap,Thu Nov 24 19:17:39 +0000 2022,2022-11-24 19:17:39+00:00,17060,"[Photo(previewUrl='https://pbs.twimg.com/media/FiWhfdAXEAI9MyK?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FiWhfdAXEAI9MyK?format=jpg&name=large', type='photo')]",['https://twitter.com/KSI/status/1595855426968604672'],58,https://twitter.com/KSI/status/1595855426968604672,382,466,,https://twitter.com/jakepaul/status/1595859209240944646,1595859209240944646,1595859209240944646
Won’t be you since your own team says you need two more fights to be “ready” for me. You are a duck. Slim would have been a better test then a guy who has two fights in his entire MMA “career” that ended 3.5 years ago and has never punched someone in a fight. https://t.co/GNblhIZ0bF,Thu Nov 24 14:14:18 +0000 2022,2022-11-24 14:14:18+00:00,8793,,['https://twitter.com/KSI/status/1595781653909094402'],43,https://twitter.com/KSI/status/1595781653909094402,400,266,,https://twitter.com/jakepaul/status/1595782868076474369,1595782868076474369,1595782868076474369
These clowns almost 30 and shaming each others moms to try and sell a fight.,Thu Nov 24 13:58:01 +0000 2022,2022-11-24 13:58:01+00:00,26835,,[],95,,828,543,,https://twitter.com/jakepaul/status/1595778767892488202,1595778767892488202,1595778767892488202
"Life has good, has bad and definitely has ugly.

Always thankful no matter what life serves as someone else is unfortunately probably getting served worse.

Happy Thanksgiving.",Thu Nov 24 13:30:46 +0000 2022,2022-11-24 13:30:46+00:00,4883,,[],5,,141,278,,https://twitter.com/jakepaul/status/1595771911568596992,1595771911568596992,1595771911568596992
One thing I’m never going to do is do business with people who don’t treat fighters well. Pay Paul Bamba. https://t.co/wWIiW1Ubcb,Wed Nov 23 13:46:38 +0000 2022,2022-11-23 13:46:38+00:00,5897,,['https://twitter.com/PaulLABamba/status/1595390945893421056'],28,https://twitter.com/PaulLABamba/status/1595390945893421056,209,225,,https://twitter.com/jakepaul/status/1595413515732488192,1595413515732488192,1595413515732488192
We are brothers. Blood. Nothing will ultimately come between us. And we will continue to make history. https://t.co/E1iK3Wo6Za,Tue Nov 22 16:02:07 +0000 2022,2022-11-22 16:02:07+00:00,5327,,['https://youtu.be/wEoLezutaJg'],26,,216,167,,https://twitter.com/jakepaul/status/1595085223632392192,1595085223632392192,1595085223632392192
"What a victory for Saudi Arabia and what a goal by Salem Al-Dawsari!!!

Congrats to all the welcoming people I met on my recent visit there and to the country as a whole. Wow.",Tue Nov 22 12:54:58 +0000 2022,2022-11-22 12:54:58+00:00,19730,,[],87,,315,786,,https://twitter.com/jakepaul/status/1595038127416041472,1595038127416041472,1595038127416041472
"I want to give one of you $100,000 for Thanksgiving 🏈

Go to the @betr app right now and fill out your Betr Ticket for a chance to win 🙌

https://t.co/TXibCps0Mc

VOID WHERE PROHIBITED. 21+ TO ENTER. TERMS AND CONDITIONS APPLY. SEE TERMS IN BETR APP. NO PURCHASE NECESSARY https://t.co/uQoKW2GhZZ",Tue Nov 22 01:15:27 +0000 2022,2022-11-22 01:15:27+00:00,1230,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1594847773463019522/pu/img/JDVCm3EBxLOqhr3o.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1594847773463019522/pu/pl/MgKno7hkHxTHSdv3.m3u8?tag=14&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1594847773463019522/pu/vid/480x852/0RwKHj2xGfR3KHtD.mp4?tag=14', bitrate=950000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1594847773463019522/pu/vid/720x1280/WAhUtFs6_wta3tPc.mp4?tag=14', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1594847773463019522/pu/vid/320x568/U45aWfD28bzxO4ce.mp4?tag=14', bitrate=632000)], duration=21.855, type='video')]",['http://bit.ly/betrsocial'],5,,159,68,,https://twitter.com/jakepaul/status/1594862089084207109,1594862089084207109,1594862089084207109
Nothing worse than a staged run in with coffee being thrown and then you go outside and get your ass whooped by some real ones.,Sat Nov 19 16:26:24 +0000 2022,2022-11-19 16:26:24+00:00,33676,,[],104,,872,688,,https://twitter.com/jakepaul/status/1594004172101279745,1594004172101279745,1594004172101279745
Rufus Du Sol will take your girlfriend brotha watch out.,Sat Nov 19 01:33:42 +0000 2022,2022-11-19 01:33:42+00:00,5233,,[],28,,160,182,,https://twitter.com/jakepaul/status/1593779518086385665,1593779518086385665,1593779518086385665
"You &amp; your papa are both frauds. My team &amp; I will never risk a quid on u again. I’m not paying u a pence u dimwit so there’s no old agreement / terms.

My team has spoken to the Warrens multiple times this week &amp; the deal is your promoter is paying you. Sign the paperwork. https://t.co/AprBUUKmyJ",Fri Nov 18 19:32:52 +0000 2022,2022-11-18 19:32:52+00:00,11687,,['https://twitter.com/tommytntfury/status/1593679991178350592'],69,https://twitter.com/tommytntfury/status/1593679991178350592,507,385,,https://twitter.com/jakepaul/status/1593688709009915908,1593688709009915908,1593688709009915908
@DanielSuarez86 @MostVpromotions All were paid. Don’t spread lies like a little nerd.,Wed Nov 16 19:59:02 +0000 2022,2022-11-16 19:59:02+00:00,802,,[],1,,29,15,,https://twitter.com/jakepaul/status/1592970520647303168,1592970520647303168,1592969472133853184
"My team is working on logos for UFA / United Fighters Association, website &amp; identifying provisional officers for an interim board.

While they take their sweet ass time…email @MostVpromotions your best UFA logo design and if yours gets selected we will buy it for $5,000.",Wed Nov 16 19:54:52 +0000 2022,2022-11-16 19:54:52+00:00,4486,,[],31,,401,149,,https://twitter.com/jakepaul/status/1592969472133853184,1592969472133853184,1592969472133853184
@MostVpromotions Facts,Tue Nov 15 13:21:30 +0000 2022,2022-11-15 13:21:30+00:00,621,,[],1,,24,19,,https://twitter.com/jakepaul/status/1592508091240960001,1592508091240960001,1592506864436412416
@Empirical_Em Yes you are the only person. John Fury asked for February not me.,Tue Nov 15 13:03:51 +0000 2022,2022-11-15 13:03:51+00:00,149,,[],1,,10,7,,https://twitter.com/jakepaul/status/1592503647979524097,1592503647979524097,1592503114778955777
"Dear @FrankWarren , I agree to fight Tommy in Manchester or London in Feb. I’ll come to his country, no more running. His baby is due then &amp; you’ve said it’s no issue. Since John is adamant we’ve agreed, I am giving u 7 days to present a signed contract by Tommy or I’m moving on. https://t.co/QMDuEsWipw",Tue Nov 15 13:00:20 +0000 2022,2022-11-15 13:00:20+00:00,24627,,['https://twitter.com/MichaelBensonn/status/1592098200135303168'],165,https://twitter.com/MichaelBensonn/status/1592098200135303168,640,941,,https://twitter.com/jakepaul/status/1592502762431881217,1592502762431881217,1592502762431881217
I like the way this kid thinks https://t.co/DdGE9R1BLh,Sun Nov 13 22:56:58 +0000 2022,2022-11-13 22:56:58+00:00,31427,,['https://twitter.com/Deji/status/1591919354131668993'],37,https://twitter.com/Deji/status/1591919354131668993,519,500,,https://twitter.com/jakepaul/status/1591928136077287429,1591928136077287429,1591928136077287429
YOU WONT YOU WONT YOU DIDNT YOU DIDNT YOU WONT YOU DIDNT YOU WONT YOU WONT YOU WONT,Sun Nov 13 22:42:00 +0000 2022,2022-11-13 22:42:00+00:00,20011,,[],78,,836,420,,https://twitter.com/jakepaul/status/1591924369559027712,1591924369559027712,1591924369559027712
Vinnie Hacker and Jake Paul finished Deji before Floyd Mayweather did.,Sun Nov 13 22:08:14 +0000 2022,2022-11-13 22:08:14+00:00,21135,,[],66,,611,353,,https://twitter.com/jakepaul/status/1591915871307722752,1591915871307722752,1591915871307722752
Floyd Mayweather is ruining the sport of boxing to pay his unpaid taxes.,Sun Nov 13 21:53:52 +0000 2022,2022-11-13 21:53:52+00:00,46138,,[],456,,1520,1094,,https://twitter.com/jakepaul/status/1591912255792500736,1591912255792500736,1591912255792500736
the simulation is glitching. https://t.co/rlQpYQwc4I,Sun Nov 13 21:32:13 +0000 2022,2022-11-13 21:32:13+00:00,48964,"[Photo(previewUrl='https://pbs.twimg.com/media/FheWvgnXEAErNoM?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FheWvgnXEAErNoM?format=jpg&name=large', type='photo')]",[],157,,674,1555,,https://twitter.com/jakepaul/status/1591906804665286656,1591906804665286656,1591906804665286656
"Tommy Fury…ur getting paid a lot of money to be a professional. But time &amp; time again you show that ur not.

Missed a fight bc of “broken ribs”, missed a fight bc you “missed a flight” &amp; now you miss weight by 7 pounds! 

I feel sorry for Frank &amp; George Warren &amp; the Fury name.",Sat Nov 12 18:59:46 +0000 2022,2022-11-12 18:59:46+00:00,43790,,[],173,,786,1297,,https://twitter.com/jakepaul/status/1591506052440522752,1591506052440522752,1591506052440522752
Laser tag winners @anthonyjoshua https://t.co/hlmyHNaSrm,Fri Nov 11 15:19:24 +0000 2022,2022-11-11 15:19:24+00:00,19812,"[Photo(previewUrl='https://pbs.twimg.com/media/FhSuSetXkAYxDOk?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhSuSetXkAYxDOk?format=jpg&name=large', type='photo')]",[],86,,388,384,,https://twitter.com/jakepaul/status/1591088209479766017,1591088209479766017,1591088209479766017
